spelling,pp_mean,pp_min,pp_freq_mean,pp_freq_min
a,1,1,1,1
aah,1,1,1,1
aardvark,1,1,1,1
aaron,0.998381889,0.99469496,0.998100358,0.993783302
ab,1,1,1,1
abacus,1,1,1,1
abandon,0.999398332,0.997647059,0.999329412,0.997360437
abandoned,0.879496356,0.527725857,0.880691173,0.534759267
abandoning,0.999340701,0.997647059,0.999172382,0.997360437
abandonment,0.999400637,0.997647059,0.99924762,0.997360437
abbey,0.990045249,0.950226244,0.987426446,0.937132231
abbot,0.983759398,0.947368421,0.986731799,0.957508128
abbott,1,1,1,1
abby,1,1,1,1
abdomen,1,1,1,1
abdominal,1,1,1,1
abducted,0.809400194,0.426199262,0.804921108,0.416936063
abduction,0.886909263,0.459394904,0.887873211,0.461900229
abductions,0.897980205,0.459394904,0.898727684,0.461900229
abel,1,1,1,1
abide,0.889427084,0.463788301,0.890099141,0.465679338
abigail,0.999585921,0.997101449,0.999712972,0.997990803
abilene,0.805725708,0.15098242,0.806894876,0.15959768
abilities,0.892232361,0.618955513,0.891525829,0.612856026
ability,1,1,1,1
able,0.909936016,0.7,0.892139011,0.639839435
abner,0.999812559,0.999062793,0.999848692,0.999243461
abnormal,0.999601911,0.996815287,0.999621346,0.996970765
aboard,0.989638319,0.963636364,0.990735871,0.967536801
abominable,0.928483032,0.586979167,0.923638083,0.574030007
abomination,0.892445154,0.357501795,0.893200628,0.363306678
abort,0.999363057,0.996815287,0.999394153,0.996970765
abortion,0.850705934,0.357501795,0.851626897,0.363306678
about,0.995094209,0.98630137,0.995597597,0.987036667
above,0.859002964,0.356957649,0.864301529,0.372769637
abracadabra,1,1,1,1
abraham,0.904761905,0.75,0.88114662,0.692199623
abrasions,0.82712164,0.173366834,0.82841771,0.179955561
abroad,0.995234672,0.974193548,0.995599485,0.976878423
abrupt,0.989202369,0.965517241,0.987842932,0.961145884
abruptly,0.998831776,0.990654206,0.998721117,0.989768939
abs,1,1,1,1
absence,0.865723426,0.15098242,0.865179086,0.15959768
absent,1,1,1,1
absolute,0.922064872,0.405365127,0.92455946,0.425509855
absolutely,0.848491058,0.079545455,0.850702703,0.081517179
absolution,0.88168967,0.357501795,0.882520691,0.363306678
absorb,0.999469214,0.996815287,0.999495128,0.996970765
absorbed,0.843071118,0.527725857,0.843131696,0.534759267
abstain,0.985450029,0.942664418,0.985235084,0.941239154
abstinence,0.86414041,0.536211699,0.865803081,0.534320662
abstract,0.984853316,0.942664418,0.985367725,0.941239154
absurd,1,1,1,1
abundance,0.931045653,0.413020833,0.932788154,0.425969993
abuse,0.878634001,0.405365127,0.883028014,0.425509855
abused,0.782693578,0.527725857,0.782052225,0.534759267
abusing,0.936217703,0.726890756,0.934379793,0.720614111
abusive,0.913764966,0.583333333,0.910323283,0.5649785
abyss,1,1,1,1
academic,0.908619746,0.586979167,0.906462013,0.574030007
academy,0.895565424,0.586979167,0.893099444,0.574030007
acapulco,1,1,1,1
accelerando,0.837943051,0.340101523,0.837035028,0.351060408
accelerate,0.758360802,0.340101523,0.758897761,0.351060408
accelerated,0.700639801,0.340101523,0.69711693,0.351060408
accelerating,0.783724045,0.340101523,0.782239376,0.351060408
acceleration,0.753206828,0.340101523,0.753107194,0.351060408
accelerator,0.83832593,0.340101523,0.837461766,0.351060408
accent,0.780033841,0.340101523,0.783686803,0.351060408
accents,0.811457578,0.340101523,0.814588688,0.351060408
accept,0.769236209,0.340101523,0.771529735,0.351060408
acceptable,0.790591382,0.340101523,0.786540281,0.351060408
acceptance,0.800470605,0.340101523,0.802880949,0.351060408
accepted,0.67107181,0.340101523,0.668950138,0.351060408
accepting,0.756020755,0.340101523,0.755979453,0.351060408
accepts,0.786312941,0.340101523,0.787349044,0.351060408
access,0.780033841,0.340101523,0.783686803,0.351060408
accessed,0.796370829,0.340101523,0.798316792,0.351060408
accessible,0.75683547,0.340101523,0.756894386,0.351060408
accessing,0.778809598,0.340101523,0.778891968,0.351060408
accessories,0.877622579,0.340101523,0.877520094,0.351060408
accessory,0.918472814,0.340101523,0.9184091,0.351060408
accident,0.821867486,0.340101523,0.823607839,0.351060408
accidental,0.793070046,0.340101523,0.794643954,0.351060408
accidentally,0.827004048,0.340101523,0.82831653,0.351060408
accidents,0.841659988,0.340101523,0.843206968,0.351060408
accolade,0.837871698,0.413020833,0.837196693,0.425969993
accommodate,0.878512538,0.413020833,0.878128549,0.425969993
accommodation,0.855270141,0.357501795,0.854440212,0.363306678
accommodations,0.865437894,0.357501795,0.864581478,0.363306678
accompanied,0.86915533,0.472274143,0.867027548,0.465240733
accompany,0.924421884,0.659898477,0.921986576,0.648939592
accompanying,0.943316413,0.659898477,0.941489932,0.648939592
accomplice,0.87673783,0.463788301,0.874846803,0.465679338
accomplices,0.811063013,0.446728972,0.807160109,0.433705325
accomplish,0.931979695,0.659898477,0.929787918,0.648939592
accomplished,0.858800793,0.527725857,0.858035724,0.534320662
accomplishment,0.945833711,0.659898477,0.944810626,0.648939592
accomplishments,0.949444797,0.659898477,0.948489917,0.648939592
accord,0.88610204,0.659898477,0.882474991,0.648939592
accordance,0.87002348,0.413020833,0.869463745,0.425969993
according,0.922367346,0.659898477,0.919450325,0.648939592
accordingly,0.846848285,0.494505495,0.841743039,0.480982383
accordion,0.922367346,0.659898477,0.919450325,0.648939592
account,0.898126373,0.659898477,0.895055334,0.648939592
accountable,0.870155903,0.586979167,0.863797106,0.574030007
accountant,0.928688461,0.659898477,0.926538734,0.648939592
accountants,0.935171328,0.659898477,0.933217031,0.648939592
accounted,0.694698218,0.426199262,0.695470215,0.416936063
accounting,0.846998791,0.540605096,0.844018043,0.538099771
accounts,0.910860576,0.659898477,0.908173418,0.648939592
accuracy,0.914974619,0.659898477,0.912234898,0.648939592
accurate,0.835227467,0.413020833,0.834347171,0.425969993
accurately,0.805083899,0.318021201,0.804618308,0.3223339
accusation,0.813669365,0.357501795,0.812308609,0.363306678
accusations,0.830392031,0.357501795,0.829045821,0.363306678
accuse,0.785494493,0.405365127,0.785503209,0.425509855
accused,0.716565489,0.527725857,0.712884647,0.534759267
accusing,0.85916511,0.659898477,0.854817217,0.648939592
accustomed,0.796541465,0.527725857,0.794158753,0.534759267
ace,0.578278357,0.049773756,0.605759286,0.062867769
aces,0.753977682,0.446728972,0.745923396,0.433705325
ache,0.59856384,0.049773756,0.610498546,0.062867769
aches,0.77585572,0.381044487,0.77702276,0.387143974
achieve,0.794252611,0.411764706,0.789412932,0.407987383
achieved,0.713603785,0.235294118,0.719992028,0.237872109
achievement,0.868654804,0.411764706,0.868308752,0.407987383
achievements,0.879600237,0.411764706,0.879283022,0.407987383
achilles,0.468260484,0.005263158,0.466746398,0.005457079
aching,0.981446039,0.916666667,0.983221617,0.927819588
acid,0.930800999,0.828467153,0.926502209,0.819266942
acids,0.944640799,0.828467153,0.941201767,0.819266942
acknowledge,0.898376134,0.15098242,0.898582994,0.15959768
acknowledged,0.890362295,0.527725857,0.889501102,0.534759267
acme,0.572132699,0.030612245,0.549446241,0.021207676
acne,0.567783603,0.013215859,0.546975011,0.011322757
acorn,0.999363057,0.996815287,0.999394153,0.996970765
acoustic,0.888571911,0.540605096,0.88746461,0.538099771
acquaintance,0.920615889,0.413020833,0.919727847,0.425969993
acquaintances,0.870494751,0.446728972,0.865964463,0.433705325
acquainted,0.837673427,0.426199262,0.83230467,0.416936063
acquiesce,0.800527318,0.15098242,0.798831326,0.15959768
acquiescence,0.769112677,0.163120567,0.760930884,0.148159389
acquire,0.836900258,0.428571429,0.856539941,0.44204316
acquired,0.815115392,0.326530612,0.81092298,0.313668711
acquiring,0.922074074,0.632,0.916670917,0.611082393
acquisition,0.79125036,0.357501795,0.783700449,0.363306678
acquitted,0.764964186,0.326530612,0.758705095,0.313668711
acre,0.898777034,0.7,0.882185392,0.639839435
acres,0.766777528,0.264705882,0.759460972,0.247316601
acrobat,0.998844206,0.99469496,0.998643113,0.993783302
acronym,0.998688589,0.99469496,0.99840821,0.993783302
across,0.998651574,0.99469496,0.998416965,0.993783302
act,0.992592593,0.988888889,0.99476234,0.99214351
acted,0.766158585,0.426199262,0.76040219,0.416936063
actin,0.799678711,0.465,0.797713482,0.457797173
acting,0.833065593,0.465,0.831427902,0.457797173
action,0.830363894,0.459394904,0.831809817,0.461900229
actions,0.854257436,0.459394904,0.855325263,0.461900229
activate,0.795052042,0.413020833,0.795683199,0.425969993
activated,0.720427348,0.426199262,0.716086024,0.416936063
activating,0.818149686,0.465,0.81633605,0.457797173
activation,0.781529026,0.357501795,0.781377432,0.363306678
active,0.817994171,0.463788301,0.81723117,0.457797173
actively,0.775911381,0.285714286,0.775768614,0.290001938
activist,0.874421551,0.465,0.873270009,0.457797173
activities,0.802848481,0.465,0.801229987,0.457797173
activity,0.874799195,0.465,0.873570926,0.457797173
actor,0.996418655,0.989304813,0.996540385,0.990031459
actors,0.993988037,0.987179487,0.994161426,0.987380422
actress,0.997441896,0.989304813,0.997528846,0.990031459
actresses,0.886346253,0.446728972,0.882990445,0.433705325
acts,0.998197115,0.992788462,0.998167616,0.992670465
actual,0.984450133,0.939759036,0.981441116,0.928758806
actually,0.987506114,0.939759036,0.98525069,0.928758806
acute,0.875303795,0.405365127,0.879295136,0.425509855
ad,1,1,1,1
adam,1,1,1,1
adamant,1,1,1,1
adams,1,1,1,1
adapt,0.987042842,0.965517241,0.985411519,0.961145884
adaptation,0.88075509,0.357501795,0.881497585,0.363306678
adapted,0.782300968,0.426199262,0.777996535,0.416936063
add,1,1,1,1
added,0.760544528,0.426199262,0.75536483,0.416936063
adder,0.990617156,0.977011494,0.991351717,0.978757561
addict,0.992464879,0.977011494,0.993840764,0.978757561
addicted,0.799223734,0.426199262,0.797244618,0.416936063
addiction,0.884354984,0.459394904,0.88551294,0.461900229
addictive,0.876108502,0.463788301,0.875793842,0.457797173
addicts,0.995685708,0.977011494,0.995918289,0.978757561
adding,0.996168582,0.977011494,0.996459594,0.978757561
addison,0.996284335,0.977011494,0.996621461,0.978757561
addition,0.849238524,0.357501795,0.850495558,0.363306678
additional,0.879152688,0.357501795,0.880038241,0.363306678
address,0.993431856,0.977011494,0.993930732,0.978757561
addressed,0.887209789,0.527725857,0.888109895,0.534759267
addresses,0.883227332,0.446728972,0.880191911,0.433705325
addressing,0.835850196,0.504672897,0.836916582,0.505519008
adds,0.994252874,0.977011494,0.99468939,0.978757561
ade,0.578129713,0.049773756,0.60572824,0.062867769
adequate,0.894300491,0.419354839,0.896516004,0.446482512
adhesive,0.918322626,0.583333333,0.913674402,0.5649785
adieu,0.996938776,0.984693878,0.996040595,0.980202975
adios,0.984403163,0.962962963,0.988028009,0.976243387
adjacent,1,1,1,1
adjective,0.873132363,0.463788301,0.871168806,0.457797173
adjoining,0.948620372,0.765306122,0.946629522,0.757086523
adjourn,0.995298237,0.977917981,0.995358308,0.97655684
adjourned,0.7928378,0.517006803,0.799666573,0.534759267
adjudication,0.900132548,0.357501795,0.900450823,0.363306678
adjust,1,1,1,1
adjusted,0.799269629,0.426199262,0.794415215,0.416936063
adjusting,0.904609737,0.540605096,0.903578747,0.538099771
adjustment,0.990104875,0.942664418,0.989865478,0.941239154
adjustments,0.991004432,0.942664418,0.990786798,0.941239154
adjutant,1,1,1,1
administer,0.990011154,0.942664418,0.989789824,0.941239154
administered,0.858903416,0.472274143,0.860866102,0.465240733
administration,0.908424675,0.357501795,0.908847264,0.363306678
administrative,0.928123109,0.463788301,0.927733392,0.465679338
administrator,0.992388365,0.942664418,0.992204214,0.941239154
admirable,0.920536702,0.586979167,0.915153425,0.574030007
admiral,1,1,1,1
admiration,0.88168967,0.357501795,0.882520691,0.363306678
admire,0.809827098,0.450292398,0.811829651,0.453528662
admired,0.819944747,0.527725857,0.827075577,0.534320662
admirer,0.999866113,0.999062793,0.999891923,0.999243461
admirers,0.999730022,0.997840173,0.999739431,0.997915445
admiring,1,1,1,1
admission,0.809004599,0.392857143,0.808684992,0.39184197
admissions,0.827866007,0.392857143,0.827458287,0.39184197
admit,0.998095238,0.99047619,0.998621776,0.993108878
admits,1,1,1,1
admitted,0.803461512,0.426199262,0.801255244,0.416936063
admittedly,0.952921869,0.536211699,0.952786516,0.534320662
admitting,0.948179121,0.540605096,0.947960474,0.538099771
ado,1,1,1,1
adolescence,0.692182268,0.15098242,0.686053347,0.148159389
adolescent,0.773785491,0.163120567,0.768993193,0.148159389
adolf,0.94,0.85,0.935657641,0.839144102
adolph,1,1,1,1
adopt,0.987042842,0.965517241,0.985411519,0.961145884
adopted,0.790309995,0.426199262,0.785596585,0.416936063
adopting,0.896719688,0.540605096,0.895570254,0.538099771
adoption,0.850943863,0.357501795,0.851871981,0.363306678
adorable,0.905576071,0.586979167,0.899459839,0.574030007
adore,0.834280951,0.356957649,0.841136093,0.372769637
adored,0.820128035,0.527725857,0.822093166,0.534759267
adores,0.79653148,0.381044487,0.795338734,0.387143974
adrenaline,0.912713223,0.463788301,0.913522657,0.465679338
adrift,1,1,1,1
ads,1,1,1,1
adult,1,1,1,1
adultery,0.939386177,0.594634873,0.936621621,0.574490145
adults,1,1,1,1
advance,0.91194608,0.413020833,0.914255358,0.425969993
advanced,0.83606322,0.527725857,0.836481651,0.534759267
advancement,0.884640185,0.318021201,0.886209445,0.3223339
advances,0.831582956,0.446728972,0.82757392,0.433705325
advancing,0.969244888,0.828467153,0.967334315,0.819266942
advantage,0.932318771,0.413020833,0.933992484,0.425969993
advantages,0.865266365,0.446728972,0.862059136,0.433705325
adventure,0.885516244,0.405365127,0.891415626,0.425509855
adventures,0.856545597,0.405365127,0.856361243,0.425509855
adventurous,0.993734656,0.950226244,0.992169373,0.937132231
adverb,1,1,1,1
adversary,0.994469583,0.950226244,0.993014692,0.937132231
adversity,0.94486113,0.726890756,0.941976753,0.720614111
advertise,0.894172464,0.463788301,0.892284361,0.465679338
advertised,0.82274416,0.527725857,0.822356208,0.534320662
advertisement,0.872246607,0.285714286,0.871315346,0.290001938
advertising,0.922386216,0.642498205,0.919498555,0.636693322
advice,0.907930225,0.463788301,0.908431474,0.465679338
advisable,0.920201019,0.586979167,0.914885943,0.574030007
advise,0.909137955,0.463788301,0.909455617,0.465679338
advised,0.804959592,0.527725857,0.807105219,0.534320662
adviser,0.999434521,0.996978852,0.999548018,0.997592663
advising,0.94419049,0.726890756,0.942582319,0.720614111
advisor,0.999568407,0.996978852,0.999656095,0.997592663
advisors,0.997351725,0.987179487,0.997482412,0.987380422
advisory,0.999224267,0.996815287,0.999320429,0.996970765
advocate,0.920252848,0.413020833,0.922112273,0.425969993
aegean,0.69543171,0.08348135,0.694431319,0.080889835
aerial,0.972337765,0.901140684,0.970962217,0.89664336
aerobics,0.998988681,0.99469496,0.998812724,0.993783302
aeronautical,0.929083402,0.540605096,0.928504814,0.538099771
aeroplane,0.929951391,0.413020833,0.931679043,0.425969993
aerospace,0.930614667,0.413020833,0.932254366,0.425969993
aesthetic,0.815493059,0.540605096,0.812033415,0.522718161
afar,1,1,1,1
affair,0.999516908,0.997101449,0.999665134,0.997990803
affairs,0.999277375,0.997101449,0.999415178,0.997915445
affect,0.996296296,0.988888889,0.99738117,0.99214351
affected,0.834976313,0.426199262,0.830301659,0.416936063
affecting,0.883179978,0.465,0.880633293,0.457797173
affection,0.881378846,0.459394904,0.880887904,0.461900229
affectionate,0.857670923,0.413020833,0.858442271,0.425969993
affections,0.89300283,0.459394904,0.892440907,0.461900229
affects,0.99896978,0.992788462,0.998952924,0.992670465
affidavit,0.998941799,0.99047619,0.99923432,0.993108878
affiliated,0.827184678,0.426199262,0.820814733,0.416936063
affirm,1,1,1,1
affirmative,0.917515888,0.463788301,0.917237519,0.465679338
afflicted,0.824086487,0.426199262,0.822133265,0.416936063
affliction,0.898218337,0.459394904,0.89908589,0.461900229
afford,0.999469214,0.996815287,0.999495128,0.996970765
afghanistan,0.888998229,0.142857143,0.896127944,0.187633811
afloat,0.995309517,0.974193548,0.995444507,0.976878423
afoot,0.990761485,0.971428571,0.991917549,0.976150866
afraid,0.999516908,0.997101449,0.999665134,0.997990803
africa,1,1,1,1
african,1,1,1,1
africans,1,1,1,1
afro,1,1,1,1
aft,1,1,1,1
after,0.990602721,0.974358974,0.991661056,0.977230675
afterlife,0.91488942,0.463788301,0.915415334,0.465679338
aftermath,0.989353006,0.950226244,0.988466006,0.937132231
afternoon,0.985437196,0.950226244,0.984785312,0.937132231
afternoons,0.988546659,0.950226244,0.987798661,0.937132231
aftershave,0.915706149,0.413020833,0.919163863,0.425969993
afterward,0.989353006,0.950226244,0.988466006,0.937132231
afterwards,0.990417706,0.950226244,0.989619405,0.937132231
again,0.99942029,0.997101449,0.999598161,0.997990803
against,0.999585921,0.997101449,0.999712972,0.997990803
agamemnon,0.855281044,0.586979167,0.847286594,0.574030007
age,0.580693816,0.049773756,0.607807571,0.062867769
aged,0.76293821,0.527725857,0.763738859,0.534759267
agencies,0.886662636,0.618955513,0.88004703,0.612856026
agency,0.991704374,0.950226244,0.989522039,0.937132231
agenda,0.991002428,0.950226244,0.988739686,0.937132231
agent,1,1,1,1
agents,1,1,1,1
ages,0.753977682,0.446728972,0.745923396,0.433705325
aggie,1,1,1,1
aggravate,0.929113642,0.413020833,0.930766465,0.425969993
aggravated,0.848545257,0.426199262,0.84562068,0.416936063
aggravation,0.892445154,0.357501795,0.893200628,0.363306678
aggression,0.796656175,0.392857143,0.796798056,0.39184197
aggressive,0.834998264,0.463788301,0.835905107,0.465679338
aging,0.964973699,0.905405405,0.966274462,0.90981314
agitate,0.88384161,0.413020833,0.886895785,0.425969993
agitated,0.788790133,0.426199262,0.785947389,0.416936063
ago,1,1,1,1
agony,0.999523737,0.99870801,0.999283588,0.998062258
agree,0.801068871,0.05511811,0.797072465,0.048230096
agreeable,0.885684981,0.114754098,0.879132474,0.100722896
agreed,0.903750065,0.472274143,0.900395494,0.465240733
agreeing,0.911057692,0.338235294,0.906788107,0.317172622
agreement,0.993253925,0.950226244,0.992074369,0.937132231
agreements,0.993928533,0.950226244,0.992866932,0.937132231
agrees,0.928196959,0.618955513,0.924998043,0.612856026
agricultural,1,1,1,1
agriculture,0.910856359,0.405365127,0.916873491,0.425509855
ah,1,1,1,1
aha,1,1,1,1
ahab,0.996268657,0.985074627,0.997150598,0.988602391
ahead,0.982178218,0.910891089,0.982860384,0.914301921
ahem,0.997933884,0.991735537,0.997581397,0.990325589
ahold,0.98125,0.953125,0.963213661,0.908034152
ahoy,0.991071429,0.964285714,0.993038928,0.972155713
aid,1,1,1,1
aide,0.706410256,0.333333333,0.726619304,0.355519116
aiding,0.99744898,0.984693878,0.996700496,0.980202975
aids,1,1,1,1
ail,1,1,1,1
aim,1,1,1,1
aimed,0.738878505,0.5,0.724408811,0.442803905
aiming,1,1,1,1
aims,1,1,1,1
air,1,1,1,1
airborne,0.910806265,0.356957649,0.914249901,0.372769637
aircraft,1,1,1,1
aired,0.738878505,0.5,0.724408811,0.442803905
airfield,0.906476326,0.576923077,0.895915668,0.577073929
airforce,0.911552451,0.356957649,0.914897139,0.372769637
airline,0.920230267,0.463788301,0.920772992,0.465679338
airlines,0.808815902,0.381044487,0.810969914,0.387143974
airlock,0.999666222,0.997663551,0.999398374,0.995788621
airplane,0.922206634,0.413020833,0.9243262,0.425969993
airplanes,0.835699409,0.381044487,0.836385406,0.387143974
airport,0.999545041,0.996815287,0.999567252,0.996970765
airports,0.998593846,0.991935484,0.998476033,0.990837502
airspace,0.92295282,0.413020833,0.924973438,0.425969993
airstrip,0.987631094,0.942664418,0.987331848,0.941239154
airtight,0.955312276,0.642498205,0.954586665,0.636693322
airway,1,1,1,1
airways,0.991296024,0.969072165,0.992407356,0.973085467
aisle,0.85,0.5,0.854022092,0.557196095
ajax,1,1,1,1
al,1,1,1,1
alabama,1,1,1,1
aladdin,0.996715928,0.977011494,0.996965366,0.978757561
alamo,1,1,1,1
alan,1,1,1,1
alarm,1,1,1,1
alarmed,0.81264368,0.527725857,0.813121887,0.534759267
alarming,1,1,1,1
alarms,1,1,1,1
alas,0.977038184,0.947368421,0.981008092,0.956280631
alaska,1,1,1,1
albanian,0.979253324,0.901140684,0.978221663,0.89664336
albany,1,1,1,1
albert,1,1,1,1
albino,1,1,1,1
album,1,1,1,1
albums,1,1,1,1
albuquerque,0.655435852,0.058823529,0.65315261,0.065164173
alcohol,0.928571429,0.5,0.915756444,0.410295111
alcoholic,0.944444444,0.5,0.934477235,0.410295111
alcoholics,0.95,0.5,0.941029511,0.410295111
alcoholism,0.949697885,0.5,0.940788777,0.410295111
alden,1,1,1,1
alderman,0.993778281,0.950226244,0.992141529,0.937132231
ale,0.413097192,0.049773756,0.441953756,0.062867769
alec,1,1,1,1
alert,1,1,1,1
alerted,0.813338486,0.426199262,0.807810611,0.416936063
alexander,0.96448572,0.735294118,0.964929442,0.752683399
alf,0.9,0.85,0.892762735,0.839144102
alfonso,0.98356876,0.923076923,0.979558223,0.911429071
alfred,0.884977171,0.472274143,0.877143764,0.465240733
alfredo,0.976798412,0.923076923,0.971088836,0.911429071
algae,1,1,1,1
algebra,0.992889463,0.950226244,0.99101889,0.937132231
algorithm,0.995079933,0.95890411,0.995520336,0.962712255
alias,0.978734044,0.932885906,0.979376336,0.929129944
aliases,0.777008265,0.446728972,0.767504556,0.433705325
alibi,1,1,1,1
alibis,0.982539683,0.942857143,0.984585718,0.948301434
alice,0.88951627,0.463788301,0.890117769,0.465679338
alien,0.730887878,0.231362468,0.729748591,0.225816886
alienated,0.682210218,0.231362468,0.678327751,0.225816886
aliens,0.775739898,0.231362468,0.774790493,0.225816886
aligned,0.624103085,0.363636364,0.623613044,0.354909469
alignment,0.858998145,0.363636364,0.857016382,0.354909469
alike,0.884147364,0.463788301,0.885936651,0.465679338
alimony,0.999659812,0.99870801,0.999488277,0.998062258
alison,0.999496475,0.996978852,0.999598777,0.997592663
alive,0.890035313,0.463788301,0.890583876,0.465679338
all,1,1,1,1
allah,0.998669623,0.996674058,0.998671765,0.996679412
allan,0.998669623,0.996674058,0.998671765,0.996679412
allegations,0.863034897,0.357501795,0.864072664,0.363306678
alleged,0.842016933,0.527725857,0.841245226,0.534759267
allegedly,0.960178836,0.84901758,0.956810633,0.84040232
allegiance,0.783291976,0.074074074,0.787257735,0.087088168
allen,0.998669623,0.996674058,0.998671765,0.996679412
allergic,0.937967121,0.735294118,0.939318345,0.752683399
allergies,0.911469933,0.618955513,0.911760402,0.612856026
allergy,0.954124068,0.735294118,0.954739208,0.752683399
alley,0.988714872,0.950226244,0.986098211,0.937132231
alleys,0.971364957,0.884615385,0.962949352,0.847205056
alleyway,0.978523718,0.884615385,0.972212014,0.847205056
alliance,0.877636409,0.37037037,0.875501941,0.392114053
allied,0.872376632,0.472274143,0.872130445,0.465240733
allies,0.896823527,0.618955513,0.896732994,0.612856026
alligator,0.999260902,0.996674058,0.999262091,0.996679412
alligators,0.997518306,0.987179487,0.997562546,0.987380422
allow,0.998669623,0.996674058,0.998671765,0.996679412
allowance,0.928295066,0.413020833,0.929662926,0.425969993
allowed,0.70085055,0.216666667,0.704856025,0.23292401
allowing,0.996379129,0.974358974,0.995897354,0.970499421
allows,0.995172172,0.974358974,0.994529805,0.970499421
alloy,0.992191954,0.964285714,0.993767025,0.972155713
ally,0.998337029,0.996674058,0.998339706,0.996679412
alma,0.906969309,0.804347826,0.909373194,0.811362231
almanac,0.946839605,0.804347826,0.948213254,0.811362231
almighty,0.953484655,0.804347826,0.954686597,0.811362231
almond,0.937582654,0.804347826,0.938985119,0.811362231
almonds,0.946655035,0.804347826,0.947936434,0.811362231
almost,0.93797954,0.804347826,0.93958213,0.811362231
aloft,0.99953271,0.997663551,0.999157724,0.995788621
aloha,0.890441801,0.454545455,0.867231328,0.34036802
alone,0.842194112,0.356957649,0.847675285,0.372769637
along,0.98953271,0.95,0.983580383,0.922113294
alongside,0.817222465,0.494505495,0.807984636,0.480982383
aloud,0.995116306,0.977917981,0.994469092,0.97655684
alpha,0.98974359,0.948717949,0.991071386,0.955356931
alphabet,0.968076903,0.904347826,0.975357034,0.929000515
alphabetical,0.866731601,0.540605096,0.865153844,0.538099771
alphabetize,0.845070098,0.463788301,0.843771246,0.465679338
alpine,0.906935311,0.463788301,0.907568491,0.465679338
alps,1,1,1,1
already,0.968233712,0.910891089,0.967220617,0.914301921
alright,1,1,1,1
alrighty,1,1,1,1
also,1,1,1,1
altair,0.999516908,0.997101449,0.999665134,0.997990803
altar,1,1,1,1
alter,0.999812559,0.999062793,0.999848692,0.999243461
alterations,0.887703784,0.357501795,0.887159734,0.363306678
altered,0.775047808,0.15098242,0.774867169,0.15959768
alternate,0.923583225,0.413020833,0.923781157,0.425969993
alternative,0.912991001,0.463788301,0.911522267,0.465679338
alternatives,0.838604305,0.381044487,0.838465405,0.387143974
althea,0.901521726,0.5,0.895824791,0.475104262
although,0.82193273,0.588235294,0.826455575,0.594591437
altitude,0.822597015,0.405365127,0.824258119,0.425509855
alto,1,1,1,1
altogether,0.936958068,0.643042351,0.935496934,0.627230363
alum,1,1,1,1
aluminum,1,1,1,1
alumni,0.904761905,0.666666667,0.895647207,0.631222685
always,0.989845361,0.969072165,0.991141915,0.973085467
alzheimer,0.968102822,0.763636364,0.967908488,0.774800696
am,1,1,1,1
amalgamation,0.901408058,0.357501795,0.902100576,0.363306678
amateur,0.864073947,0.586979167,0.860144013,0.574030007
amateurs,0.880794725,0.586979167,0.877365442,0.574030007
amaze,0.874327633,0.413020833,0.877387201,0.425969993
amazed,0.781417627,0.527725857,0.781975535,0.534759267
amazes,0.775443942,0.446728972,0.77009856,0.433705325
amazing,1,1,1,1
amazingly,0.890447224,0.494505495,0.887124501,0.480982383
amazon,1,1,1,1
ambassador,0.968315065,0.862068966,0.968096362,0.859778352
ambassadors,0.969544145,0.862068966,0.969384568,0.859778352
amber,0.94479778,0.862068966,0.943834019,0.859778352
ambidextrous,0.913023208,0.536211699,0.911748019,0.534320662
ambition,0.817727851,0.357501795,0.818141693,0.363306678
ambitions,0.837715721,0.357501795,0.837950164,0.363306678
ambitious,0.834756119,0.357501795,0.834435796,0.363306678
ambivalent,0.972492611,0.862068966,0.971992663,0.859778352
ambrose,0.858515922,0.356957649,0.861656758,0.372769637
ambrosia,0.806904178,0.161764706,0.810340676,0.164940591
ambulance,0.900949852,0.413020833,0.90219046,0.425969993
ambulances,0.837758976,0.446728972,0.834051799,0.433705325
ambush,0.954154351,0.862068966,0.953321106,0.859778352
ambushed,0.855910855,0.527725857,0.853647006,0.534759267
amelia,0.96474359,0.838235294,0.96203194,0.835059409
amen,1,1,1,1
amendment,0.994001619,0.950226244,0.992493124,0.937132231
amends,0.999690211,0.998141264,0.999657575,0.997945447
america,0.992889463,0.950226244,0.99101889,0.937132231
american,0.993778281,0.950226244,0.992141529,0.937132231
americans,0.994469583,0.950226244,0.993014692,0.937132231
amethyst,0.988641294,0.950226244,0.987480561,0.937132231
amid,1,1,1,1
amigo,1,1,1,1
amigos,0.989553656,0.962962963,0.993322845,0.976243387
amir,1,1,1,1
amish,1,1,1,1
ammo,0.995454545,0.990909091,0.996159167,0.992318335
ammonia,0.973953166,0.838235294,0.973730574,0.835059409
ammunition,0.879871488,0.357501795,0.880984358,0.363306678
amnesia,0.731027935,0.161764706,0.726187494,0.164940591
amnesty,0.897120918,0.666666667,0.887095751,0.631222685
among,0.999741602,0.99870801,0.999612452,0.998062258
amongst,0.858961861,0.494505495,0.854597538,0.480982383
amorous,0.997207968,0.991452991,0.996711878,0.989592791
amos,0.984330484,0.962962963,0.989984267,0.976243387
amount,0.994514609,0.977917981,0.994584693,0.97655684
amounts,0.995298237,0.977917981,0.995358308,0.97655684
amour,0.993417531,0.977917981,0.993501631,0.97655684
amp,1,1,1,1
